val_mr_3s,val_mr,val_min_fde_3s,val_min_fde,val_min_ade_3s,val_min_ade,val_loss,eval_dataset,train_dataset
0.028816,0.07535,0.596401,0.84715,0.36825,0.497791,6.652447,hotel,waymo
0.005062,0.023754,0.305605,0.483949,0.155167,0.245538,2.291106,hotel,zara1
0.004673,0.022586,0.302055,0.484324,0.156428,0.244709,2.39046,hotel,zara2
0.491116,0.607805,2.590541,4.745364,1.177705,2.164487,29.205009,i80,a43
0.46332,0.515423,2.351696,3.21672,1.207345,1.839158,24.773081,i80,ad4che
0.578151,0.933219,2.973625,7.390321,1.565928,3.173985,26.856592,i80,apollo
0.728618,0.52764,3.726049,3.438303,1.595991,2.199995,17.015713,i80,argoverse
0.136851,0.160495,1.092423,1.289544,0.620017,0.837871,4.700005,i80,av2
0.940812,0.96227,14.227586,23.558655,7.268051,11.912798,112.709419,i80,eth
0.440925,0.549721,2.422911,4.151408,1.104979,1.974527,17.867125,i80,exid
0.395379,0.438963,2.076449,2.940957,1.006755,1.611569,13.491224,i80,highd
0.897405,0.932993,11.019361,18.0819,5.597795,9.084721,59.254723,i80,hotel
0.069178,0.057214,0.814614,0.781499,0.443312,0.582796,1.829164,i80,i80
0.290756,0.427885,1.732043,2.854875,0.869147,1.404559,11.985373,i80,ind
0.779317,0.933726,3.792983,7.116433,1.644209,3.289596,40.977234,i80,interact
0.121355,0.131339,1.048627,1.23486,0.583356,0.798028,5.531631,i80,lyft
0.161296,0.201205,1.359599,1.837598,0.761839,1.081887,7.49728,i80,nuscenes
0.636305,0.805635,4.03632,8.243487,1.681745,3.454597,28.178242,i80,opendd
0.435693,0.661583,2.45641,5.538365,1.155756,2.217018,19.042345,i80,round
0.407327,0.582442,2.894031,6.573819,1.210864,2.559341,17.376505,i80,sind
0.342542,0.40663,2.743047,4.129337,1.41585,2.192682,17.188442,i80,unid
0.900086,0.94769,11.471875,19.190205,5.717486,9.630578,80.134727,i80,univ
0.122481,0.159301,1.071713,1.276346,0.566214,0.801722,5.501633,i80,us101
0.690585,0.960726,4.274673,9.320507,2.001892,4.084294,31.777025,i80,vod
0.287966,0.292056,1.603353,1.868252,1.140391,1.347314,8.793591,i80,waymo
0.886469,0.92516,10.670014,17.351479,5.490157,8.85433,72.969673,i80,zara1
0.94226,0.972243,13.092442,21.507212,6.443093,10.848151,86.133476,i80,zara2
0.679141,0.835654,2.977,7.257702,1.269641,2.751181,28.26186,ind,a43
0.069728,0.125155,0.49234,1.001271,0.225702,0.415903,6.557402,ind,ad4che
0.106166,0.914336,1.000413,3.54971,0.463213,1.289075,15.955732,ind,apollo
0.105226,0.136612,0.663955,1.091966,0.288419,0.492373,8.457409,ind,argoverse
0.031183,0.079569,0.293426,0.565833,0.144444,0.250594,-5.375622,ind,av2
0.174222,0.24979,2.229323,3.512835,1.142208,1.768567,20.398464,ind,eth
0.080114,0.157247,0.630128,1.263946,0.301907,0.538128,1.550338,ind,exid
0.080055,0.146371,0.599771,1.179422,0.294366,0.521595,9.217141,ind,highd
0.163657,0.227593,1.839844,2.9287,0.920892,1.466033,16.727055,ind,hotel
0.14939,0.217277,0.960804,1.694639,0.448531,0.750521,5.40198,ind,i80
0.005086,0.023578,0.139012,0.245346,0.065746,0.112463,-6.535499,ind,ind
0.140209,0.888203,1.088032,3.04161,0.461939,1.222778,18.061991,ind,interact
0.039615,0.088397,0.341655,0.673084,0.167587,0.291633,-1.736022,ind,lyft
0.052148,0.099747,0.390075,0.737176,0.190289,0.326314,-1.912862,ind,nuscenes
0.08356,0.133186,0.65288,1.269988,0.257876,0.506656,0.081741,ind,opendd
0.056658,0.11374,0.426054,0.938935,0.162062,0.351953,-2.789259,ind,round
0.039711,0.09568,0.328909,0.692873,0.150886,0.284005,-3.903027,ind,sind
0.080597,0.160201,0.577033,1.128769,0.240643,0.462147,-0.984405,ind,unid
0.16109,0.216777,1.906921,2.814742,0.957203,1.521145,15.180887,ind,univ
0.110992,0.183507,0.769546,1.592996,0.345893,0.634069,7.27336,ind,us101
0.130509,0.931077,1.114634,4.12485,0.527163,1.642655,16.29261,ind,vod
0.04582,0.085864,0.414989,0.660562,0.260599,0.362174,-3.408589,ind,waymo
0.16224,0.238513,1.755008,2.791677,0.908023,1.442148,15.148037,ind,zara1
0.177893,0.263068,2.107372,3.258526,1.028304,1.668316,16.928751,ind,zara2
0.387938,0.387938,2.431028,2.431028,0.995104,0.995104,38.072021,interact,a43
0.261451,0.261451,1.571978,1.571978,0.670915,0.670915,21.026415,interact,ad4che
0.315161,0.315161,2.193728,2.193728,1.068717,1.068717,11.086841,interact,apollo
0.233834,0.233834,1.497618,1.497618,0.561522,0.561522,7.929859,interact,argoverse
0.084083,0.084083,0.734595,0.734595,0.299512,0.299512,6.775497,interact,av2
0.653232,0.653232,7.708572,7.708572,3.866177,3.866177,68.502434,interact,eth
0.240737,0.240737,1.582503,1.582503,0.621435,0.621435,20.26651,interact,exid
0.236443,0.236443,1.5249,1.5249,0.598732,0.598732,11.26874,interact,highd
0.601753,0.601753,6.214177,6.214177,3.085594,3.085594,37.98431,interact,hotel
0.303744,0.303744,2.399467,2.399467,1.038211,1.038211,13.716968,interact,i80
0.162092,0.162092,1.045692,1.045692,0.40616,0.40616,12.541051,interact,ind
